Date,Open,High,Low,Close,Adj Close,Volume,Monthly,60ma,extent_of_fall
2003-03-06,87.375,87.375,84.375,84.75,53.30107116699219,604160,89.5,,
2003-03-07,83.75,84.25,80.75,82.375,51.80736923217773,779328,89.5,,
2003-03-10,83.75,84.125,80.375,80.625,50.70675277709961,467200,89.5,,
2003-03-11,79.375,81.75,79.375,81.125,51.021217346191406,573120,89.5,,
2003-03-12,81.75,83.125,79.5,80.125,50.39229202270508,332096,89.5,,
2003-03-13,81.25,82.125,79.875,81.5,51.25706481933594,430656,89.5,,
2003-03-14,81.5,81.5,81.5,81.5,51.25706481933594,0,89.5,,
2003-03-17,80.125,81.25,78.875,81.0,50.942604064941406,560768,89.5,,
2003-03-18,81.0,81.0,81.0,81.0,50.942604064941406,0,89.5,,
2003-03-19,78.5,83.0,78.125,80.5,50.62814712524414,849728,89.5,,
2003-03-20,82.5,85.625,80.25,83.875,52.75075912475586,845056,89.5,,
2003-03-21,85.0,86.25,83.375,83.5,52.5149040222168,718720,89.5,,
2003-03-24,84.375,84.375,80.625,81.75,51.41429138183594,247808,89.5,,
2003-03-25,80.0,81.875,78.75,79.375,49.92061233520508,487488,89.5,,
2003-03-26,80.25,81.625,79.0,79.375,49.92061233520508,483008,89.5,,
2003-03-27,80.375,81.0,75.625,79.875,50.23506927490234,945920,89.5,,
2003-03-28,81.5,81.5,78.75,80.25,50.47091674804688,361152,89.5,,
2003-03-31,79.375,82.625,78.375,80.875,50.863990783691406,877568,80.875,,
2003-04-01,81.875,81.875,78.125,79.125,49.76337814331055,474688,80.875,,
2003-04-02,79.0,80.5,78.75,79.625,50.07783508300781,581056,80.875,,
2003-04-03,80.625,80.625,77.5,78.75,49.52754974365234,1334208,80.875,,
2003-04-04,79.25,81.25,78.5,80.0,50.31368637084961,1813248,80.875,,
2003-04-07,80.125,81.0,78.125,80.0,50.31368637084961,1404416,80.875,,
2003-04-08,79.5,79.5,75.0,76.125,47.87660598754883,1650944,80.875,,
2003-04-09,78.625,84.625,72.75,80.0,50.31368637084961,38437760,80.875,,
2003-04-10,81.875,81.875,67.5,70.125,44.10309219360352,16869696,80.875,,
2003-04-11,68.75,76.625,65.625,74.25,46.6973876953125,5810624,80.875,,
2003-04-15,75.75,78.125,72.625,73.5,46.22570037841797,2104192,80.875,,
2003-04-16,74.75,75.25,71.375,72.0,45.28232192993164,1376576,80.875,,
2003-04-17,70.0,73.125,69.25,72.125,45.36093521118164,1539264,80.875,,
2003-04-18,72.125,72.125,72.125,72.125,45.36093521118164,0,80.875,,
2003-04-21,73.75,73.75,71.0,71.5,44.96786117553711,1054720,80.875,,
2003-04-22,71.0,72.5,69.5,70.5,44.33894348144531,565184,80.875,,
2003-04-23,71.25,71.5,66.875,67.75,42.60940170288086,1442944,80.875,,
2003-04-24,68.5,69.875,66.625,67.25,42.29494857788086,1766848,80.875,,
2003-04-25,67.0,68.75,66.375,67.75,42.60940170288086,580160,80.875,,
2003-04-28,66.625,70.25,66.625,68.125,42.845245361328125,768768,80.875,,
2003-04-29,69.0,69.0,67.875,68.375,43.00247573852539,358080,80.875,,
2003-04-30,66.75,70.5,66.75,67.375,42.3735580444336,457664,67.375,,
2003-05-01,67.375,67.375,67.375,67.375,42.3735580444336,0,67.375,,
2003-05-02,68.375,71.25,68.125,69.625,43.78862762451172,2624384,67.375,,
2003-05-05,70.625,71.375,69.5,70.375,44.26031112670898,1260736,67.375,,
2003-05-06,69.875,71.625,69.5,70.75,44.49615859985352,1149056,67.375,,
2003-05-07,70.625,71.25,69.0,69.375,43.63140487670898,286912,67.375,,
2003-05-08,70.5,70.5,68.375,68.875,43.31694030761719,485760,67.375,,
2003-05-09,69.0,69.875,68.75,69.0,43.39555358886719,229632,67.375,,
2003-05-12,69.375,70.0,68.75,69.25,43.55278778076172,1211200,67.375,,
2003-05-13,69.125,70.25,69.125,69.75,43.86724472045898,279488,67.375,,
2003-05-14,69.625,73.75,69.375,70.875,44.57477188110352,2245568,67.375,,
2003-05-15,71.25,73.0,71.25,71.5,44.96786117553711,917376,67.375,,
2003-05-16,71.5,74.75,70.25,73.75,46.382938385009766,924288,67.375,,
2003-05-19,73.75,75.0,73.75,74.5,46.85462188720703,1332928,67.375,,
2003-05-20,68.0,74.375,67.25,73.875,46.461544036865234,2013248,67.375,,
2003-05-21,73.75,74.375,71.625,72.125,45.36093521118164,1177600,67.375,,
2003-05-22,73.375,73.375,71.375,72.0,45.28232192993164,1278400,67.375,,
2003-05-23,73.625,73.625,68.25,69.375,43.63140487670898,813568,67.375,,
2003-05-26,69.5,69.5,66.375,68.5,43.08110046386719,524416,67.375,,
2003-05-27,67.5,70.5,67.5,68.75,43.23832702636719,1145216,67.375,,
2003-05-28,69.75,71.125,69.375,69.875,43.94585800170898,1571136,67.375,,
2003-05-29,65.0,70.875,65.0,70.375,44.26031112670898,801984,67.375,,
2003-05-30,70.625,71.25,70.0,70.125,44.10309219360352,269760,67.375,,
2003-06-02,70.75,71.0,70.0,70.375,44.26031112670898,986880,70.125,,
2003-06-03,71.875,74.375,70.625,74.125,46.6187629699707,1016128,70.125,,
2003-06-04,71.75,74.625,71.75,74.375,46.77602005004883,1229568,70.125,,
2003-06-05,75.0,75.5,73.75,74.875,47.09046936035156,2019008,70.125,,
2003-06-06,72.625,76.25,72.625,74.625,46.93323516845703,381376,70.125,,
2003-06-09,74.125,75.5,72.125,73.25,46.06846237182617,294720,70.125,,
2003-06-10,73.125,74.0,72.5,73.0,45.91123580932617,159616,70.125,,
2003-06-11,73.75,75.375,73.125,74.125,46.6187629699707,373376,70.125,,
2003-06-12,75.25,75.375,73.75,74.25,46.6973876953125,302016,70.125,,
2003-06-13,75.0,75.0,73.0,73.5,46.22570037841797,156224,70.125,,
2003-06-16,71.875,75.0,71.875,73.75,46.382938385009766,132032,70.125,,
2003-06-17,74.875,75.5,74.375,75.25,47.32630920410156,564672,70.125,,
2003-06-18,74.375,75.5,73.125,74.375,46.77602005004883,475968,70.125,,
2003-06-19,78.75,78.75,73.875,74.875,47.09046936035156,4423488,70.125,,
2003-06-20,74.375,74.375,72.625,73.375,46.147071838378906,624768,70.125,,
2003-06-23,74.5,74.5,73.125,74.0,46.540157318115234,645248,70.125,,
2003-06-24,73.75,73.75,67.625,69.625,43.78862762451172,5559808,70.125,,
2003-06-25,73.375,73.875,71.75,73.25,46.06846237182617,320000,70.125,,
2003-06-26,73.25,75.75,71.875,75.125,47.2476806640625,598720,70.125,,
2003-06-27,75.75,79.625,75.75,79.125,49.76337814331055,996928,70.125,,
2003-06-30,79.75,79.875,78.25,79.0,49.68476486206055,726080,79.0,,
2003-07-01,81.125,81.125,78.875,79.625,50.07783508300781,812864,79.0,,
2003-07-02,81.25,92.5,78.75,83.75,52.672149658203125,959408,79.0,,
2003-07-03,91.25,91.25,80.0,81.0,50.942604064941406,623120,79.0,,
2003-07-04,81.75,83.0,78.75,81.75,51.41429138183594,197440,79.0,,
2003-07-07,82.0,84.25,81.25,82.5,51.885986328125,406288,79.0,,
2003-07-08,90.0,90.0,82.25,87.5,55.03059005737305,707488,79.0,,
2003-07-09,88.25,92.5,82.75,85.75,53.929988861083984,3314512,79.0,,
2003-07-10,87.5,93.75,87.5,92.0,57.86074066162109,2817296,79.0,,
2003-07-11,92.5,92.5,88.25,89.5,56.28843688964844,544720,79.0,,
2003-07-14,91.25,92.5,89.5,90.0,56.60289764404297,230560,79.0,,
2003-07-15,90.25,90.25,85.5,86.75,54.55890655517578,270816,79.0,,
