Date,Open,High,Low,Close,Adj Close,Volume,60_MA,60ma,extent_of_fall
2007-03-05,361.8500061035156,361.8500061035156,331.2749938964844,334.4375,249.9818878173828,3429088,358.875,,
2007-03-06,338.76251220703125,355.0,317.75,323.13751220703125,241.5354766845703,6161912,358.875,,
2007-03-07,328.75,336.6000061035156,315.75,325.73748779296875,243.47894287109372,4047368,358.875,,
2007-03-08,327.67498779296875,342.70001220703125,321.4125061035156,339.48748779296875,253.756591796875,3271228,358.875,,
2007-03-09,343.5,346.0,327.5,329.6000061035156,246.3660125732422,1657092,358.875,,
2007-03-12,332.5,349.42498779296875,328.3125,343.54998779296875,256.7932434082031,3362084,358.875,,
2007-03-13,346.1000061035156,377.5,338.0,373.4750061035156,279.1612548828125,8575144,358.875,,
2007-03-14,362.5,368.75,352.75,359.11248779296875,268.4257507324219,5787068,358.875,,
2007-03-15,365.2749938964844,381.0,361.2374877929688,363.8250122070313,271.9481506347656,4087188,358.875,,
2007-03-16,365.0,370.0,352.82501220703125,359.36248779296875,268.6125793457031,2597852,358.875,,
2007-03-19,362.5,368.75,359.25,362.0625,270.6307678222656,2027760,358.875,,
2007-03-20,364.7250061035156,369.6749877929688,356.32501220703125,359.70001220703125,268.8648376464844,1466248,358.875,,
2007-03-21,361.25,366.125,357.5,361.0249938964844,270.1368713378906,1451708,358.875,,
2007-03-22,366.5249938964844,374.75,366.3374938964844,370.4375,277.1798400878906,2371352,358.875,,
2007-03-23,372.5,373.625,366.375,368.8624877929688,276.0013122558594,1242592,358.875,,
2007-03-26,370.5,375.6749877929688,366.25,367.8125,275.21563720703125,1492912,358.875,,
2007-03-28,367.5,367.5,356.0,357.6875,267.6395263671875,989372,358.875,,
2007-03-29,360.01251220703125,360.75,355.0,357.5,267.4992980957031,755340,358.875,,
2007-03-30,360.0,365.5,354.51251220703125,356.7749938964844,266.956787109375,1031664,358.875,,
2007-04-02,350.0,350.5,332.25,335.25,250.85069274902344,1219916,356.7749938964844,,
2007-04-03,338.75,340.5,332.76251220703125,335.7124938964844,251.19679260253903,1188476,356.7749938964844,,
2007-04-04,341.0,346.25,338.75,342.9750061035156,256.6309814453125,1374500,356.7749938964844,,
2007-04-05,345.04998779296875,348.75,338.79998779296875,344.0,257.39794921875,680484,356.7749938964844,,
2007-04-09,346.25,357.17498779296875,346.25,353.7250061035156,264.6746826171875,1424248,356.7749938964844,,
2007-04-10,355.0,357.25,345.75,349.75,261.7003479003906,903320,356.7749938964844,,
2007-04-11,352.5,354.5,347.75,349.17498779296875,261.2701110839844,528596,356.7749938964844,,
2007-04-12,346.25,357.0,342.98748779296875,351.98748779296875,263.37451171875,1664952,356.7749938964844,,
2007-04-13,356.0,376.9375,355.0,373.625,279.5647888183594,3885108,356.7749938964844,,
2007-04-16,378.75,388.8250122070313,377.75,380.4249877929688,284.65289306640625,1960788,356.7749938964844,,
2007-04-17,382.5,383.5,359.5,363.5625,272.0355529785156,2395000,356.7749938964844,,
2007-04-18,365.0,377.6499938964844,365.0,369.9375,276.8056640625,1244392,356.7749938964844,,
2007-04-19,362.5,380.9750061035156,352.5,377.2749938964844,282.2959899902344,2409344,356.7749938964844,,
2007-04-20,382.5,388.75,377.9750061035156,380.0,284.3348999023437,2131804,356.7749938964844,,
2007-04-23,384.1000061035156,385.7250061035156,373.2625122070313,375.2999877929688,280.8182067871094,1171804,356.7749938964844,,
2007-04-24,362.8250122070313,385.75,356.5625,379.4249877929688,283.9046325683594,1718624,356.7749938964844,,
2007-04-25,382.5,382.5,373.125,375.6499938964844,281.080078125,648640,356.7749938964844,,
2007-04-26,379.6749877929688,385.25,373.75,377.375,282.3706970214844,1302300,356.7749938964844,,
2007-04-27,378.9249877929688,378.9624938964844,368.0,369.1000061035156,276.17901611328125,666392,356.7749938964844,,
2007-04-30,372.5,402.4874877929688,367.5,397.3500061035156,297.3170471191406,4008224,397.3500061035156,,
2007-05-03,403.75,411.0,395.875,401.6375122070313,300.5251770019531,4097128,397.3500061035156,,
2007-05-04,402.5,418.125,396.2749938964844,412.2250061035156,308.4472961425781,5801992,397.3500061035156,,
2007-05-07,432.2000122070313,432.2000122070313,402.5,406.2749938964844,303.9951477050781,4750716,397.3500061035156,,
2007-05-08,400.0,406.75,386.0,389.5249938964844,291.4620666503906,6116948,397.3500061035156,,
2007-05-09,392.9874877929688,396.25,381.2625122070313,386.0625,288.8711853027344,2351152,397.3500061035156,,
